cell_x,cell_y,world_x_m,world_y_m,hits
372,394,-13.578082,17.318632,100
373,393,-13.507639,17.312477,100
373,394,-13.539783,17.350776,100
373,395,-13.571927,17.389074,100
374,394,-13.501485,17.382920,100
370,321,-11.308171,14.458561,100
371,320,-11.237728,14.452407,100
371,321,-11.269872,14.490705,100
371,322,-11.302016,14.529003,100
372,321,-11.231574,14.522849,100
2,303,-24.823388,1.940219,100
3,302,-24.752946,1.934064,100
3,303,-24.785090,1.972362,100
3,304,-24.817234,2.010661,100
4,303,-24.746792,2.004506,100
1,338,-25.986725,3.248518,100
2,337,-25.916282,3.242364,100
2,338,-25.948426,3.280662,100
2,339,-25.980570,3.318961,100
3,338,-25.910128,3.312806,100
182,270,-16.868927,6.462281,100
183,269,-16.798485,6.456127,100
183,270,-16.830629,6.494425,100
183,271,-16.862773,6.532724,100
184,270,-16.792331,6.526569,100
347,566,-20.064300,23.102357,100
348,565,-19.993858,23.096202,100
348,566,-20.026001,23.134501,100
348,567,-20.058145,23.172799,100
349,566,-19.987703,23.166645,100
240,440,-20.112091,14.837357,100
241,439,-20.041649,14.831203,100
241,440,-20.073793,14.869501,100
241,441,-20.105937,14.907799,100
242,440,-20.035494,14.901645,100
329,289,-11.849798,11.915111,100
330,288,-11.779356,11.908956,100
330,289,-11.811500,11.947255,100
330,290,-11.843644,11.985553,100
331,289,-11.773202,11.979399,100
219,417,-20.177047,13.281471,100
220,416,-20.106604,13.275317,100
220,417,-20.138748,13.313615,100
220,418,-20.170892,13.351914,100
221,417,-20.100450,13.345759,100
234,280,-15.198850,8.516751,100
235,279,-15.128408,8.510596,100
235,280,-15.160552,8.548894,100
235,281,-15.192696,8.587193,100
236,280,-15.122254,8.581038,100
309,45,-4.772644,1.927424,100
310,44,-4.702202,1.921269,100
310,45,-4.734346,1.959568,100
310,46,-4.766490,1.997866,100
311,45,-4.696047,1.991712,100
549,292,-3.520584,19.101674,100
550,291,-3.450141,19.095519,100
550,292,-3.482285,19.133818,100
550,293,-3.514429,19.172116,100
551,292,-3.443987,19.165961,100
427,37,0.003718,5.414022,100
428,36,0.074160,5.407868,100
428,37,0.042016,5.446166,100
428,38,0.009872,5.484464,100
429,37,0.080315,5.478310,100
242,400,-18.749736,13.369709,100
243,399,-18.679294,13.363555,100
243,400,-18.711438,13.401853,100
243,401,-18.743582,13.440152,100
244,400,-18.673140,13.433997,100
144,243,-17.456380,4.206755,100
145,242,-17.385937,4.200601,100
145,243,-17.418081,4.238899,100
145,244,-17.450225,4.277197,100
146,243,-17.379783,4.271043,100
222,571,-25.012319,19.275856,100
223,570,-24.941876,19.269701,100
223,571,-24.974020,19.308000,100
223,572,-25.006164,19.346298,100
224,571,-24.935722,19.340144,100
550,373,-6.085945,22.235987,100
551,372,-6.015502,22.229833,100
551,373,-6.047646,22.268131,100
551,374,-6.079790,22.306430,100
552,373,-6.009348,22.300275,100
349,567,-20.019847,23.204943,100
349,568,-20.051991,23.243241,100
350,567,-19.981549,23.237087,100
242,441,-20.067638,14.939943,100
242,442,-20.099782,14.978242,100
243,441,-20.029340,14.972087,100
311,46,-4.728191,2.030010,100
311,47,-4.760335,2.068309,100
312,46,-4.689893,2.062154,100
438,52,-0.057159,6.342081,100
439,51,0.013283,6.335927,100
439,52,-0.018860,6.374225,100
439,53,-0.051004,6.412524,100
440,52,0.019438,6.406369,100
193,135,-12.108213,1.645582,100
194,134,-12.037770,1.639427,100
194,135,-12.069914,1.677726,100
194,136,-12.102058,1.716024,100
195,135,-12.031616,1.709870,100
219,273,-15.548319,7.766503,100
220,272,-15.477876,7.760348,100
220,273,-15.510020,7.798647,100
220,274,-15.542164,7.836945,100
221,273,-15.471722,7.830790,100
166,267,-17.385270,5.833083,100
167,266,-17.314827,5.826929,100
167,267,-17.346971,5.865227,100
167,268,-17.379115,5.903526,100
168,267,-17.308673,5.897371,100
8,355,-26.265083,4.124599,100
9,354,-26.194641,4.118444,100
9,355,-26.226785,4.156743,100
9,356,-26.258929,4.195041,100
10,355,-26.188486,4.188887,100
321,406,-15.917027,16.138871,100
322,405,-15.846585,16.132717,100
322,406,-15.878729,16.171015,100
322,407,-15.910873,16.209314,100
323,406,-15.840430,16.203159,100
314,281,-12.167123,11.126564,100
315,280,-12.096680,11.120410,100
315,281,-12.128824,11.158708,100
315,282,-12.160968,11.197007,100
316,281,-12.090526,11.190852,100
555,344,-4.962278,21.286054,100
556,343,-4.891836,21.279899,100
556,344,-4.923980,21.318198,100
556,345,-4.956124,21.356496,100
557,344,-4.885682,21.350342,100
366,557,-19.047335,23.368406,100
367,556,-18.976893,23.362252,100
367,557,-19.009036,23.400550,100
367,558,-19.041180,23.438848,100
368,557,-18.970738,23.432694,100
387,351,-11.621416,16.153960,100
388,350,-11.550974,16.147805,100
388,351,-11.583118,16.186104,100
388,352,-11.615262,16.224402,100
389,351,-11.544819,16.218248,100
18,368,-26.299970,4.943917,100
19,367,-26.229528,4.937763,100
19,368,-26.261672,4.976061,100
19,369,-26.293816,5.014360,100
20,368,-26.223374,5.008205,100
495,213,-3.049325,14.340328,100
496,212,-2.978883,14.334173,100
496,213,-3.011027,14.372471,100
496,214,-3.043171,14.410770,100
497,213,-2.972729,14.404615,100
272,284,-13.872087,9.891414,100
273,283,-13.801645,9.885259,100
273,284,-13.833789,9.923558,100
273,285,-13.865933,9.961856,100
274,284,-13.795490,9.955702,100
165,158,-13.919878,1.626414,100
166,157,-13.849436,1.620260,100
166,158,-13.881580,1.658558,100
166,159,-13.913724,1.696857,100
167,158,-13.843282,1.690702,100
340,10,-2.460356,1.583442,100
341,9,-2.389913,1.577288,100
341,10,-2.422057,1.615586,100
341,11,-2.454201,1.653885,100
342,10,-2.383759,1.647730,100
363,402,-14.179919,17.335723,100
364,401,-14.109476,17.329569,100
364,402,-14.141620,17.367867,100
364,403,-14.173764,17.406166,100
365,402,-14.103322,17.400011,100
498,218,-3.095150,14.628251,100
499,217,-3.024708,14.622097,100
499,218,-3.056852,14.660395,100
499,219,-3.088995,14.698694,100
500,218,-3.018553,14.692539,100
231,103,-9.624267,1.641503,100
232,102,-9.553825,1.635349,100
232,103,-9.585969,1.673647,100
232,104,-9.618113,1.711945,100
233,103,-9.547671,1.705791,100
1,315,-25.247414,2.367655,100
2,314,-25.176972,2.361501,100
2,315,-25.209116,2.399799,100
2,316,-25.241260,2.438098,100
3,315,-25.170817,2.431943,100
519,241,-3.030194,16.184137,100
520,240,-2.959752,16.177983,100
520,241,-2.991896,16.216281,100
520,242,-3.024040,16.254580,100
521,241,-2.953598,16.248425,100
376,341,-11.721259,15.417393,100
377,340,-11.650817,15.411238,100
377,341,-11.682961,15.449536,100
377,342,-11.715105,15.487835,100
378,341,-11.644662,15.481680,100
214,279,-15.932674,7.835573,100
215,278,-15.862232,7.829419,100
215,279,-15.894376,7.867717,100
215,280,-15.926520,7.906016,100
216,279,-15.856077,7.899861,100
139,514,-26.358881,14.424900,100
140,513,-26.288438,14.418745,100
140,514,-26.320582,14.457044,100
140,515,-26.352726,14.495342,100
141,514,-26.282284,14.489188,100
389,352,-11.576963,16.256546,100
389,353,-11.609107,16.294845,100
390,352,-11.538665,16.288690,100
20,369,-26.255518,5.046504,100
20,370,-26.287661,5.084802,100
21,369,-26.217219,5.078647,100
375,4,-0.927048,2.478690,100
376,3,-0.856606,2.472536,100
376,4,-0.888750,2.510834,100
376,5,-0.920894,2.549132,100
377,4,-0.850452,2.542978,100
353,394,-14.305751,16.707897,100
354,393,-14.235309,16.701742,100
354,394,-14.267453,16.740041,100
354,395,-14.299597,16.778339,100
355,394,-14.229154,16.772185,100
307,98,-6.552870,3.892951,100
308,97,-6.482427,3.886796,100
308,98,-6.514571,3.925095,100
308,99,-6.546715,3.963393,100
309,98,-6.476273,3.957239,100
521,242,-2.985742,16.286723,100
521,243,-3.017885,16.325022,100
522,242,-2.947443,16.318867,100
257,277,-14.221555,9.141166,100
258,276,-14.151113,9.135012,100
258,277,-14.183257,9.173310,100
258,278,-14.215401,9.211608,100
259,277,-14.144959,9.205454,100
336,570,-20.614158,22.901967,100
337,569,-20.543716,22.895812,100
337,570,-20.575860,22.934111,100
337,571,-20.608004,22.972409,100
338,570,-20.537561,22.966255,100
456,486,-13.318259,23.542175,100
457,485,-13.247817,23.536021,100
457,486,-13.279961,23.574319,100
457,487,-13.312105,23.612617,100
458,486,-13.241663,23.606463,100
323,405,-15.808286,16.164861,100
323,407,-15.872574,16.241457,100
324,406,-15.802132,16.235303,100
309,287,-12.551478,11.195635,100
310,286,-12.481036,11.189481,100
310,287,-12.513180,11.227779,100
310,288,-12.545324,11.266077,100
311,287,-12.474882,11.259923,100
141,515,-26.314428,14.527486,100
141,516,-26.346572,14.565785,100
142,515,-26.276129,14.559630,100
180,551,-25.977972,17.159842,100
181,550,-25.907530,17.153688,100
181,551,-25.939674,17.191986,100
181,552,-25.971818,17.230284,100
182,551,-25.901376,17.224130,100
44,398,-26.268530,6.928612,100
45,397,-26.198088,6.922457,100
45,398,-26.230232,6.960756,100
45,399,-26.262376,6.999054,100
46,398,-26.191934,6.992899,100
309,99,-6.508417,3.995537,100
309,100,-6.540561,4.033835,100
310,99,-6.470119,4.027681,100
264,401,-17.939316,14.115174,100
265,400,-17.868873,14.109020,100
265,401,-17.901017,14.147318,100
265,402,-17.933161,14.185617,100
266,401,-17.862719,14.179462,100
300,95,-6.724527,3.553048,100
301,94,-6.654084,3.546894,100
301,95,-6.686228,3.585192,100
301,96,-6.718372,3.623490,100
302,95,-6.647930,3.617336,100
311,288,-12.507026,11.298221,100
311,289,-12.539170,11.336520,100
312,288,-12.468727,11.330365,100
336,426,-15.985430,17.386998,100
337,425,-15.914988,17.380844,100
337,426,-15.947132,17.419142,100
337,427,-15.979276,17.457441,100
338,426,-15.908833,17.451286,100
247,577,-24.247723,20.309245,100
248,576,-24.177280,20.303090,100
248,577,-24.209424,20.341389,100
248,578,-24.241568,20.379687,100
249,577,-24.171126,20.373533,100
282,455,-18.985718,16.761879,100
283,454,-18.915275,16.755724,100
283,455,-18.947419,16.794023,100
283,456,-18.979563,16.832321,100
284,455,-18.909121,16.826167,100
478,101,-0.100276,9.504460,100
479,100,-0.029834,9.498306,100
479,101,-0.061978,9.536604,100
479,102,-0.094122,9.574903,100
480,101,-0.023680,9.568748,100
294,280,-12.900947,10.445387,100
295,279,-12.830504,10.439233,100
295,280,-12.862648,10.477531,100
295,281,-12.894792,10.515829,100
296,280,-12.824350,10.509675,100
348,400,-14.690107,16.776967,100
349,399,-14.619664,16.770813,100
349,400,-14.651808,16.809111,100
349,401,-14.683952,16.847410,100
350,400,-14.613510,16.841255,100
200,273,-16.275988,7.155768,100
201,272,-16.205546,7.149613,100
201,273,-16.237690,7.187912,100
201,274,-16.269834,7.226210,100
202,273,-16.199391,7.220056,100
428,509,-15.129925,23.523008,100
429,508,-15.059483,23.516853,100
429,509,-15.091627,23.555152,100
429,510,-15.123771,23.593450,100
430,509,-15.053328,23.587296,100
46,399,-26.224078,7.031198,100
46,400,-26.256222,7.069496,100
47,399,-26.185779,7.063342,100
494,454,-10.834314,23.538096,100
495,453,-10.763872,23.531942,100
495,454,-10.796016,23.570240,100
495,455,-10.828160,23.608539,100
496,454,-10.757718,23.602384,100
266,402,-17.894863,14.217761,100
266,403,-17.927007,14.256059,100
267,402,-17.856565,14.249905,100
252,283,-14.605911,9.210237,100
253,282,-14.535469,9.204082,100
253,283,-14.567613,9.242381,100
253,284,-14.599757,9.280679,100
254,283,-14.529314,9.274525,100
48,404,-26.308201,7.286978,100
49,403,-26.237758,7.280823,100
49,404,-26.269902,7.319122,100
49,405,-26.302046,7.357420,100
50,404,-26.231604,7.351266,100
507,164,-1.014691,12.849434,100
508,163,-0.944249,12.843279,100
508,164,-0.976393,12.881578,100
508,165,-1.008537,12.919876,100
509,164,-0.938095,12.913721,100
55,263,-21.507816,2.111912,100
56,262,-21.437373,2.105757,100
56,263,-21.469517,2.144056,100
56,264,-21.501661,2.182354,100
57,263,-21.431219,2.176200,100
538,268,-3.170411,17.828929,100
539,267,-3.099969,17.822774,100
539,268,-3.132113,17.861073,100
539,269,-3.164257,17.899371,100
540,268,-3.093815,17.893217,100
249,578,-24.203270,20.411831,100
249,579,-24.235414,20.450129,100
250,578,-24.164971,20.443975,100
215,401,-19.815937,12.540121,100
216,400,-19.745495,12.533967,100
216,401,-19.777639,12.572265,100
216,402,-19.809783,12.610564,100
217,401,-19.739340,12.604409,100
375,390,-13.334611,17.261870,100
376,389,-13.264168,17.255715,100
376,390,-13.296312,17.294014,100
376,391,-13.328456,17.332312,100
377,390,-13.258014,17.326158,100
336,282,-11.356702,11.872030,100
337,281,-11.286260,11.865875,100
337,282,-11.318404,11.904174,100
337,283,-11.350548,11.942472,100
338,282,-11.280105,11.936317,100
496,455,-10.789861,23.640683,100
496,456,-10.822005,23.678981,100
497,455,-10.751563,23.672827,100
482,107,-0.139946,9.862827,100
483,106,-0.069504,9.856672,100
483,107,-0.101648,9.894970,100
483,108,-0.133792,9.933269,100
484,107,-0.063350,9.927114,100
200,129,-11.647260,1.640799,100
201,128,-11.576818,1.634645,100
201,129,-11.608962,1.672943,100
201,130,-11.641106,1.711241,100
202,129,-11.570663,1.705087,100
329,14,-3.010214,1.383053,100
330,13,-2.939772,1.376898,100
330,14,-2.971915,1.415196,100
330,15,-3.004059,1.453495,100
331,14,-2.933617,1.447340,100
535,262,-3.092443,17.502707,100
536,261,-3.022001,17.496552,100
536,262,-3.054145,17.534851,100
536,263,-3.086288,17.573149,100
537,262,-3.015846,17.566994,100
4,337,-25.839686,3.306652,100
4,338,-25.871830,3.344950,100
4,339,-25.903974,3.383249,100
5,338,-25.833531,3.377094,100
360,1,-1.405092,1.881636,100
361,0,-1.334650,1.875481,100
361,1,-1.366794,1.913780,100
361,2,-1.398938,1.952078,100
362,1,-1.328496,1.945924,100
223,112,-10.219950,1.729037,100
224,111,-10.149508,1.722883,100
224,112,-10.181652,1.761181,100
224,113,-10.213796,1.799479,100
225,112,-10.143353,1.793325,100
302,405,-16.612553,15.489838,100
303,404,-16.542110,15.483683,100
303,405,-16.574254,15.521982,100
303,406,-16.606398,15.560280,100
304,405,-16.535956,15.554126,100
376,354,-12.139130,15.915272,100
377,353,-12.068688,15.909117,100
377,354,-12.100832,15.947416,100
377,355,-12.132976,15.985714,100
378,354,-12.062534,15.979560,100
251,94,-8.569004,1.939696,100
252,93,-8.498562,1.933542,100
252,94,-8.530706,1.971840,100
252,95,-8.562850,2.010139,100
253,94,-8.492407,2.003984,100
284,91,-7.208725,2.885551,100
285,90,-7.138283,2.879397,100
285,91,-7.170427,2.917695,100
285,92,-7.202571,2.955994,100
286,91,-7.132128,2.949839,100
80,441,-26.271978,9.732624,100
81,440,-26.201536,9.726470,100
81,441,-26.233680,9.764768,100
81,442,-26.265823,9.803067,100
82,441,-26.195381,9.796912,100
0,332,-25.832159,2.986584,100
1,331,-25.761717,2.980430,100
1,332,-25.793861,3.018728,100
1,333,-25.826005,3.057026,100
2,332,-25.755563,3.050872,100
25,276,-23.074639,1.645473,100
26,275,-23.004196,1.639318,100
26,276,-23.036340,1.677617,100
26,277,-23.068484,1.715915,100
27,276,-22.998042,1.709761,100
308,76,-5.807405,3.082530,100
309,75,-5.736962,3.076376,100
309,76,-5.769106,3.114674,100
309,77,-5.801250,3.152972,100
310,76,-5.730808,3.146818,100
546,393,-6.882017,22.873379,100
547,392,-6.811575,22.867225,100
547,393,-6.843719,22.905523,100
547,394,-6.875863,22.943822,100
548,393,-6.805420,22.937667,100
304,451,-18.014577,17.315852,100
305,450,-17.944135,17.309697,100
305,451,-17.976279,17.347996,100
305,452,-18.008423,17.386294,100
306,451,-17.937980,17.380140,100
